Date,Open,High,Low,Volume,Close
1/4/00,300000,305500,283000,1483900,305500
1/5/00,290000,303000,276000,1493600,279000
1/6/00,287500,289000,279000,1087800,281000
1/7/00,278000,283500,268000,806100,277000
1/10/00,280000,288500,279000,937600,288500
1/11/00,291000,305000,288500,1194900,288500
1/12/00,280500,287000,280000,584400,286000
1/13/00,280000,287000,278000,823800,285500
1/14/00,286000,294000,284000,987500,291500
1/17/00,300000,309000,296000,1270100,305000
1/18/00,308000,308000,299000,905200,305000
1/19/00,300000,302000,298000,804100,298000
1/20/00,293000,302000,291000,746300,302000
1/21/00,297500,299000,294000,650700,294000
1/24/00,290000,295000,285000,687100,285000
1/25/00,276000,282000,272000,885000,272000
1/26/00,275000,276000,270500,585700,274000
1/27/00,274000,281000,271500,558000,276000
1/28/00,282000,294000,277000,766300,291000
1/31/00,282000,286500,278000,792600,279000
2/1/00,280000,284000,263000,1429400,266000
2/2/00,261000,268500,255500,1282100,262500
2/3/00,262500,273000,248500,2855300,256500
2/4/00,256500,256500,256500,0,256500
2/7/00,257000,266500,252000,1282800,262000
2/8/00,267000,274000,265500,1169200,271500
2/9/00,278000,286000,274000,1021000,286000
2/10/00,283000,294000,280000,1236900,288000
2/11/00,298000,298000,284000,693200,285000
2/14/00,280000,283000,267000,882800,269000
2/15/00,269000,271000,257000,766300,260000
2/16/00,259000,260000,239000,1462300,250000
2/17/00,247000,255000,245500,1303700,254000
2/18/00,268500,281500,258000,2175000,265000
2/21/00,260000,263000,251500,529700,253500
2/22/00,250000,262000,250000,483600,256000
2/23/00,261000,263000,255000,554400,257000
2/24/00,256000,262000,253000,521500,253500
2/25/00,254000,257500,249000,557500,256000
2/28/00,250000,252500,240000,602800,240000
2/29/00,245000,257000,242000,1036400,256000
3/1/00,256000,256000,256000,0,256000
3/2/00,294000,294000,276000,2355000,294000
3/3/00,310000,312500,294000,2819800,300000
3/6/00,300000,302500,280000,783000,282000
3/7/00,280000,282000,274000,601400,281000
3/8/00,276000,300000,275000,649200,296000
3/9/00,298500,299000,281000,1117800,281000
3/10/00,289500,290000,276000,572100,277000
3/13/00,274000,274500,258000,644300,259000
3/14/00,258500,269000,258000,601200,260500
3/15/00,260000,270000,256000,922100,270000
3/16/00,274000,276000,268000,575900,270000
3/17/00,277000,278000,270000,481600,274000
3/20/00,280000,285500,276500,527300,283000
3/21/00,285000,297000,280500,898500,294000
3/22/00,298000,315000,294000,1739500,310000
3/23/00,324000,329000,310000,1299000,310000
3/24/00,316000,356000,309000,1805200,340000
3/27/00,348000,352000,335000,1354600,340000
3/28/00,345000,363000,341000,1488500,351500
3/29/00,351500,384000,349000,1561800,383000
3/30/00,376000,378000,352500,1492900,352500
3/31/00,340000,353500,332500,1277100,335000
4/3/00,346000,366000,343000,1136100,355000
4/4/00,350000,364500,333000,1166800,340000
4/5/00,340000,340000,340000,0,340000
4/6/00,343000,348000,334000,944700,334000
4/7/00,343000,363000,339000,847100,360000
4/10/00,375000,375000,360000,717700,365000
4/11/00,360000,360000,347500,581500,355000
4/12/00,348000,351500,343000,705000,345500
4/13/00,345500,345500,345500,0,345500
4/14/00,330000,334000,313000,1247300,313000
4/17/00,271000,287500,267000,1561000,276000
4/18/00,310000,312000,293000,1474600,302000
4/19/00,315000,323000,293000,1212300,300000
4/20/00,298000,308000,296000,746700,301000
4/21/00,303000,309000,298500,528500,302500
4/24/00,298500,301500,288000,556600,290000
4/25/00,281000,288000,276000,698000,282000
4/26/00,291000,293000,280000,785800,280000
4/27/00,276000,285000,270000,1082200,270000
4/28/00,275000,305000,273000,1510600,300000
5/1/00,300000,300000,300000,0,300000
5/2/00,310000,326500,306000,1446700,314000
5/3/00,312000,313000,304500,531700,309000
5/4/00,311000,318000,307000,522000,309000
5/5/00,309000,309000,309000,0,309000
5/8/00,320000,335000,315000,1053900,328000
5/9/00,328000,328000,328000,0,328000
5/10/00,316000,319500,313500,552400,317500
5/11/00,317500,317500,317500,0,317500
5/12/00,321000,322000,308000,943400,308000
5/15/00,314500,326500,311000,942400,322000
5/16/00,325500,340000,325500,792400,340000
5/17/00,350000,367000,346000,1524700,346000
5/18/00,337000,350000,334000,731600,340000
5/19/00,337000,345000,330000,829000,345000
5/22/00,336000,341500,331000,727700,333500
5/23/00,325000,335000,317500,825800,319000
5/24/00,308000,318500,296000,1443000,310000
5/25/00,316500,319000,296500,1719300,300000
5/26/00,295000,299500,280000,1342000,280000
5/29/00,263000,284000,262000,1342600,273000
5/30/00,273000,273000,273000,0,273000
5/31/00,300000,314500,298000,1678700,308000
6/1/00,310000,320500,306000,1004600,315000
6/2/00,334500,345000,325500,1687700,331000
6/5/00,346000,349000,334000,960200,337000
6/6/00,337000,337000,337000,0,337000
6/7/00,330000,349000,325500,1067300,340000
6/8/00,333000,348000,326500,1171000,326500
6/9/00,330000,352000,326500,1277200,351000
6/12/00,360000,364000,351500,990300,359500
6/13/00,353000,355000,343500,849900,353000
6/14/00,361500,382000,354500,1260400,382000
6/15/00,378000,378000,350000,1224500,350000
6/16/00,345000,348000,335500,1329100,337000
6/19/00,330000,347500,327500,1071200,335000
6/20/00,347000,359000,341500,1195800,357000
6/21/00,365000,369000,353500,751700,354000
6/22/00,362000,363500,348000,672700,352000
6/23/00,349000,350500,343000,584300,350000
6/26/00,355000,368000,349500,799600,360500
6/27/00,366000,372000,359500,910700,365500
6/28/00,361000,377000,361000,945900,376000
6/29/00,380000,387000,369000,1222400,374500
6/30/00,372000,377000,364500,705000,369000
7/3/00,372000,377500,371000,519500,375000
7/4/00,380000,381000,367500,656200,367500
7/5/00,369500,376000,367500,497900,371500
7/6/00,362000,367500,359000,1206800,365000
7/7/00,367000,373000,361500,811600,368000
7/10/00,372000,381500,370500,850100,380000
7/11/00,379000,387000,372500,698900,372500
7/12/00,376000,383000,373000,802800,382000
7/13/00,385000,394000,378500,976100,388000
7/14/00,389000,392000,377000,608500,377500
7/17/00,377500,377500,377500,0,377500
