Date,Target,Prediction,Difference,Absolute difference,
12/4/15,672.640015,675.019,-2.378600723,2.378600723,
12/7/15,669.830017,670.988,-1.157898039,1.157898039,
12/8/15,677.330017,672.411,4.918945223,4.918945223,
12/9/15,664.789978,671.99,-7.20031741,7.20031741,
12/10/15,662.320007,670.873,-8.552734699,8.552734699,
12/11/15,640.150024,666.705,-26.55542034,26.55542034,
12/14/15,657.909973,649.878,8.031493996,8.031493996,
12/15/15,658.640015,650.207,8.432556504,8.432556504,
12/16/15,675.77002,665.517,10.25341844,10.25341844,
12/17/15,670.650024,671.718,-1.067566332,1.067566332,
12/18/15,664.140015,678.993,-14.85333217,14.85333217,
12/21/15,664.51001,670.732,-6.22222877,6.22222877,
12/22/15,663.150024,668.427,-5.276672777,5.276672777,
12/23/15,663.700012,667.624,-3.924255578,3.924255578,
12/24/15,662.789978,666.081,-3.291137723,3.291137723,
12/28/15,675.200012,665.98,9.220336707,9.220336707,
12/29/15,693.969971,671.997,21.97283965,21.97283965,
12/30/15,689.070007,686.752,2.317626629,2.317626629,
12/31/15,675.890015,692.501,-16.61077846,16.61077846,
1/4/16,636.98999,683.889,-46.89892602,46.89892602,
1/5/16,633.789978,645.065,-11.27526858,11.27526858,
1/6/16,632.650024,640.225,-7.57464641,7.57464641,
1/7/16,607.940002,631.386,-23.44561812,23.44561812,
1/8/16,607.049988,619.109,-12.059387,12.059387,
1/11/16,617.73999,618.245,-0.504822012,0.504822012,
1/12/16,617.890015,616.038,1.852112168,1.852112168,
1/13/16,581.809998,623.875,-42.06512407,42.06512407,
1/14/16,593,604.372,-11.37225342,11.37225342,
1/15/16,570.179993,589.152,-18.97167936,18.97167936,
1/19/16,574.47998,575.651,-1.171020977,1.171020977,
1/20/16,571.77002,578.654,-6.88409377,6.88409377,
1/21/16,575.02002,567.454,7.565735332,7.565735332,
1/22/16,596.380005,578.74,17.63970959,17.63970959,
1/25/16,596.530029,594.983,1.547179879,1.547179879,
1/26/16,601.25,602.852,-1.60168457,1.60168457,
1/27/16,583.349976,602.858,-19.5083614,19.5083614,
1/28/16,635.349976,594.089,41.26049846,41.26049846,
1/29/16,587,616.809,-29.80889893,29.80889893,
2/1/16,574.809998,578.568,-3.757995164,3.757995164,
2/2/16,552.099976,576.337,-24.23687703,24.23687703,
2/3/16,531.070007,563.109,-32.03906282,32.03906282,
2/4/16,536.26001,542.103,-5.842895273,5.842895273,
2/5/16,502.130005,531.911,-29.78094471,29.78094471,
2/8/16,488.100006,516.828,-28.72818004,28.72818004,
2/9/16,482.070007,488.114,-6.044342365,6.044342365,
2/10/16,490.480011,484.951,5.52890016,5.52890016,
2/11/16,503.820007,495.676,8.144408855,8.144408855,
2/12/16,507.079987,499.869,7.210571717,7.210571717,
2/16/16,521.099976,511.858,9.241852221,9.241852221,
2/17/16,534.099976,522.021,12.07849163,12.07849163,
2/18/16,525,531.882,-6.882080078,6.882080078,
2/19/16,534.900024,534.813,0.086791578,0.086791578,
2/22/16,559.5,528.03,31.47027588,31.47027588,
2/23/16,552.940002,549.643,3.297423875,3.297423875,
2/24/16,554.039978,553.06,0.979858371,0.979858371,
