Date,Target,Prediction,Difference,Absolute Difference,
5/18/17,930.23999,932.957,-2.716552969,2.716552969,
5/19/17,934.01001,928.846,5.164306875,5.164306875,
5/22/17,941.859985,934.602,7.25830043,7.25830043,
5/23/17,948.820007,939.952,8.868224773,8.868224773,
5/24/17,954.960022,948.279,6.681091336,6.681091336,
5/25/17,969.539978,955.022,14.51751706,14.51751706,
5/26/17,971.469971,962.596,8.874023734,8.874023734,
5/30/17,975.880005,970.876,5.004272578,5.004272578,
5/31/17,964.859985,974.615,-9.754516953,9.754516953,
6/1/17,966.950012,972.349,-5.398742883,5.398742883,
6/2/17,975.599976,971.65,3.950439867,3.950439867,
6/5/17,983.679993,973.797,9.882629719,9.882629719,
6/6/17,976.570007,981.899,-5.329040852,5.329040852,
6/7/17,980.940002,983.901,-2.960876906,2.960876906,
6/8/17,983.409973,984.521,-1.111145164,1.111145164,
6/9/17,949.830017,985.92,-36.08953866,36.08953866,
6/12/17,942.900024,970.919,-28.01916545,28.01916545,
6/13/17,953.400024,942.434,10.96594197,10.96594197,
6/14/17,950.76001,951.45,-0.690307383,0.690307383,
6/15/17,942.309998,956.465,-14.15484575,14.15484575,
6/16/17,939.780029,941.641,-1.86047393,1.86047393,
6/19/17,957.369995,937.282,20.08813465,20.08813465,
6/20/17,950.630005,951.402,-0.771972539,0.771972539,
6/21/17,959.450012,958.117,1.333312781,1.333312781,
6/22/17,957.090027,959.589,-2.499206398,2.499206398,
6/23/17,965.590027,962.428,3.161926414,3.161926414,
6/26/17,952.27002,962.882,-10.61169387,10.61169387,
6/27/17,927.330017,965.634,-38.30389413,38.30389413,
6/28/17,940.48999,945.353,-4.863159414,4.863159414,
6/29/17,917.789978,934.304,-16.51422122,16.51422122,
6/30/17,908.72998,923.967,-15.23718309,15.23718309,
7/3/17,898.700012,921.405,-22.7050173,22.7050173,
7/5/17,911.710022,912.472,-0.762023898,0.762023898,
7/6/17,906.690002,909.213,-2.522766555,2.522766555,
7/7/17,918.590027,909.045,9.545105125,9.545105125,
7/10/17,928.799988,913.714,15.08551046,15.08551046,
7/11/17,930.090027,923.906,6.18365493,6.18365493,
7/12/17,943.830017,929.479,14.35101309,14.35101309,
7/13/17,947.159973,939.203,7.957092141,7.957092141,
7/14/17,955.98999,947.935,8.055297617,8.055297617,
7/17/17,953.419983,954.763,-1.342834383,1.342834383,
7/18/17,965.400024,958.537,6.863158766,6.863158766,
7/19/17,970.890015,961.448,9.442383164,9.442383164,
7/20/17,968.150024,969.508,-1.358398852,1.358398852,
7/21/17,972.919983,972.418,0.501770109,0.501770109,
7/24/17,980.340027,969.718,10.6224977,10.6224977,
7/25/17,950.700012,973.004,-22.30401632,22.30401632,
7/26/17,947.799988,952.41,-4.609924109,4.609924109,
7/27/17,934.090027,952.787,-18.69720445,18.69720445,
7/28/17,941.530029,943.104,-1.573852836,1.573852836,
7/31/17,930.5,938.681,-8.181030273,8.181030273,
8/1/17,930.830017,938.546,-7.716369719,7.716369719,
8/2/17,930.390015,937.359,-6.969115859,6.969115859,
,,,,9.245032027,Average
